new entry "Stats_UndeadDragonMorph_GTS"
type "Potion"
data "Act" "1"
data "Act part" "0"
data "Strength" "10"
data "Finesse" "10"
data "Intelligence" "10"
data "Constitution" "10"
data "Wits" "7"
data "WarriorLore" "7"
data "FireSpecialist" "7"
data "AirSpecialist" "0"
data "FireResistance" "30"
data "EarthResistance" "30"
data "WaterResistance" "-10"
data "AirResistance" "10"
data "PoisonResistance" "200"
data "Movement" "200"
data "MovementSpeedBoost" "0"
data "VitalityBoost" "300"
data "AccuracyBoost" "105"
data "DodgeBoost" "-100"
data "DamageBoost" "300"
data "APStart" "2"
data "APRecovery" "0"
data "Armor" "225"
data "MagicArmor" "375"
data "Flags" "FreezeImmunity;StunImmunity;CharmImmunity;FearImmunity;KnockdownImmunity;WarmImmunity;CrippledImmunity;WeakImmunity;DiseasedImmunity;InfectiousDiseasedImmunity;PetrifiedImmunity;DrunkImmunity;SlippingImmunity;TauntedImmunity;SleepingImmunity;DisarmedImmunity;EnragedImmunity;MadnessImmunity;ChickenImmunity;ThrownImmunity;WebImmunity;ShacklesOfPainImmunity;BurnImmunity;WetImmunity;BlindImmunity;SlowedImmunity;BleedingImmunity;SuffocatingImmunity;DecayingImmunity"

