new entry "UNDEADDRAGONSTATUS_GTS"
type "StatusData"
data "StatusType" "CONSUME"
data "ForGameMaster" "No"
data "InitiateCombat" "No"
data "BringIntoCombat" "No"
data "DisplayName" "UNDEADDRAGONSTATUS_GTS_DisplayName"
data "DisplayNameRef" "Dragon Form"
data "Description" "UNDEADDRAGONSTATUS_GTS_Description"
data "DescriptionRef" "Assuming the form of a powerful dragon."
data "Icon" "DEV06_Dragon"
data "FormatColor" "Source"
data "StackId" "Stack_MorphWeapon"
data "Items" "_Animals_Dragon_A"
data "WeaponOverride" "_Animals_Dragon_A"

